Format Version,1.23,Take Name,Calibsmartstonex 2023-04-17 11.37.41 AM_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-04-17 11.38.40.797 AM,Capture Start Frame,2604639,Total Frames in Take,9521,Total Exported Frames,9521,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stonex,stonex,stonex,stonex,stonex,stonex,stonex,"stonex:Marker1","stonex:Marker1","stonex:Marker1","stonex:Marker2","stonex:Marker2","stonex:Marker2","stonex:Marker3","stonex:Marker3","stonex:Marker3","stonex:Marker4","stonex:Marker4","stonex:Marker4","stonex:Marker5","stonex:Marker5","stonex:Marker5",Smartphone,Smartphone,Smartphone,Smartphone,Smartphone,Smartphone,Smartphone,"Smartphone:Marker1","Smartphone:Marker1","Smartphone:Marker1","Smartphone:Marker2","Smartphone:Marker2","Smartphone:Marker2","Smartphone:Marker3","Smartphone:Marker3","Smartphone:Marker3","Smartphone:Marker4","Smartphone:Marker4","Smartphone:Marker4",Smartphone:Marker1,Smartphone:Marker1,Smartphone:Marker1,Smartphone:Marker2,Smartphone:Marker2,Smartphone:Marker2,Smartphone:Marker3,Smartphone:Marker3,Smartphone:Marker3,Smartphone:Marker4,Smartphone:Marker4,Smartphone:Marker4,stonex:Marker1,stonex:Marker1,stonex:Marker1,stonex:Marker2,stonex:Marker2,stonex:Marker2,stonex:Marker3,stonex:Marker3,stonex:Marker3,stonex:Marker4,stonex:Marker4,stonex:Marker4,stonex:Marker5,stonex:Marker5,stonex:Marker5
,ID,"71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","71316D2DDCFE11ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","F55206DDD0311ED5F75BB645DD411B7","10E460","10E460","10E460","10F380","10F380","10F380","10F420","10F420","10F420","10F460","10F460","10F460","FD240","FD240","FD240","FD250","FD250","FD250","FD270","FD270","FD270","FD2C0","FD2C0","FD2C0","FD260","FD260","FD260"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,0.007166,0.080761,0.002045,-0.996706,0.068556,1.916127,0.231497,0.151910,1.925524,0.245802,0.054040,1.924700,0.315314,0.081916,1.931913,0.148026,-0.015732,1.928284,0.217243,0.070030,1.970771,0.231095,0.000040,-0.002609,0.000924,-0.999996,0.066498,1.716890,0.132624,0.069240,1.742865,0.132345,0.066444,1.633045,0.134209,0.066514,1.716928,0.132645,0.070259,1.664553,0.106220,0.069335,1.742700,0.132304,0.066474,1.633082,0.134211,0.066385,1.716987,0.132674,0.070262,1.664622,0.106230,0.150322,1.925368,0.245408,0.054253,1.924904,0.314234,0.081922,1.932076,0.149272,-0.013985,1.928234,0.217723,0.069858,1.970591,0.231000
3,0.008333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.011111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,0.007212,0.080793,0.002085,-0.996703,0.068548,1.916123,0.231511,0.151901,1.925514,0.245821,0.054027,1.924705,0.315326,0.081914,1.931901,0.148040,-0.015739,1.928287,0.217251,0.070026,1.970768,0.231104,0.000135,-0.002701,0.000942,-0.999996,0.066503,1.716880,0.132616,0.069246,1.742855,0.132331,0.066447,1.633035,0.134217,0.066519,1.716919,0.132636,0.070258,1.664538,0.106221,0.069344,1.742687,0.132280,0.066477,1.633059,0.134215,0.066387,1.716983,0.132674,0.070262,1.664618,0.106237,0.150367,1.925378,0.245448,0.054243,1.924910,0.314225,0.081919,1.932064,0.149294,-0.013996,1.928235,0.217732,0.069856,1.970582,0.231008
6,0.016667,0.007200,0.080899,0.001915,-0.996695,0.068561,1.916125,0.231517,0.151908,1.925545,0.245845,0.054020,1.924702,0.315330,0.081939,1.931907,0.148049,-0.015727,1.928260,0.217240,0.070020,1.970770,0.231111,-0.000771,-0.005302,0.001486,-0.999985,0.066668,1.716864,0.132781,0.069438,1.742837,0.132529,0.066528,1.633017,0.134231,0.066684,1.716903,0.132802,0.070228,1.664566,0.106272,0.069329,1.742693,0.132333,0.066481,1.633060,0.134217,0.066815,1.716942,0.133059,0.070253,1.664627,0.106225,0.150250,1.925379,0.245450,0.054237,1.924903,0.314225,0.081935,1.932066,0.149295,-0.013998,1.928229,0.217718,0.069852,1.970591,0.231013
7,0.019444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
